temp,fuel,year,co
-40,0,15,340.357
-39,0,15,334.225
-38,0,15,328.093
-37,0,15,321.961
-36,0,15,315.829
-35,0,15,309.697
-34,0,15,303.565
-33,0,15,297.433
-32,0,15,291.301
-31,0,15,285.369
-30,0,15,280.05
-29,0,15,274.732
-28,0,15,269.413
-27,0,15,264.094
-26,0,15,258.775
-25,0,15,253.456
-24,0,15,248.137
-23,0,15,242.818
-22,0,15,237.5
-21,0,15,232.359
-20,0,15,227.382
-19,0,15,222.405
-18,0,15,217.428
-17,0,15,212.452
-16,0,15,207.475
-15,0,15,202.498
-14,0,15,197.522
-13,0,15,192.545
-12,0,15,187.724
-11,0,15,183.303
-10,0,15,178.882
-9,0,15,174.461
-8,0,15,170.04
-7,0,15,165.619
-6,0,15,161.198
-5,0,15,156.778
-4,0,15,152.357
-3,0,15,148.117
-2,0,15,144.196
-1,0,15,140.274
0,0,15,136.352
1,0,15,132.43
2,0,15,128.509
3,0,15,124.587
4,0,15,120.665
5,0,15,116.743
6,0,15,112.822
7,0,15,109.1
8,0,15,105.817
9,0,15,102.533
10,0,15,99.25
11,0,15,95.967
12,0,15,92.684
13,0,15,89.4
14,0,15,86.117
15,0,15,82.834
16,0,15,79.726
17,0,15,76.757
18,0,15,73.787
19,0,15,70.818
20,0,15,67.848
21,0,15,64.879
22,0,15,61.909
23,0,15,58.94
24,0,15,55.97
25,0,15,53.044
26,0,15,50.348
27,0,15,47.651
28,0,15,44.955
29,0,15,42.259
30,0,15,39.563
31,0,15,36.867
32,0,15,34.17
33,0,15,31.474
34,0,15,28.778
35,0,15,26.209
36,0,15,24.708
37,0,15,23.207
38,0,15,21.706
39,0,15,20.205
40,0,15,18.704
41,0,15,17.203
42,0,15,15.703
43,0,15,14.202
44,0,15,12.815
45,0,15,11.639
46,0,15,10.463
47,0,15,9.287
48,0,15,8.112
49,0,15,6.936
50,0,15,5.76
51,0,15,4.584
52,0,15,3.408
53,0,15,2.363
54,0,15,1.664
55,0,15,0.966
56,0,15,0.267
57,0,15,-0.432
58,0,15,-1.131
59,0,15,-1.829
60,0,15,-2.528
61,0,15,-3.227
62,0,15,-3.925
63,0,15,-3.516
64,0,15,-2.944
65,0,15,-2.372
66,0,15,-1.8
67,0,15,-1.228
68,0,15,-0.656
69,0,15,-0.084
70,0,15,0.488
71,0,15,1.06
72,0,15,1.632
73,0,15,2.403
74,0,15,3.217
75,0,15,4.031
76,0,15,4.845
77,0,15,5.659
78,0,15,6.473
79,0,15,7.287
80,0,15,8.101
81,0,15,8.915
82,0,15,10.537
83,0,15,12.436
84,0,15,14.336
85,0,15,16.236
86,0,15,18.135
87,0,15,20.035
88,0,15,21.934
89,0,15,23.834
90,0,15,25.733
91,0,15,26.717
92,0,15,27.241
93,0,15,27.765
94,0,15,28.29
95,0,15,28.814
96,0,15,29.338
97,0,15,29.862
98,0,15,30.386
99,0,15,30.91
100,0,15,31.296
101,0,15,31.296
102,0,15,31.296
103,0,15,31.296
104,0,15,31.296
105,0,15,31.296
106,0,15,31.296
107,0,15,31.296
108,0,15,31.296
109,0,15,31.296
110,0,15,31.22
111,0,15,31.133
112,0,15,31.046
113,0,15,30.958
114,0,15,30.871
115,0,15,30.784
116,0,15,30.696
117,0,15,30.609
118,0,15,30.522
-40,0,10,247.263
-39,0,10,243.417
-38,0,10,239.571
-37,0,10,235.725
-36,0,10,231.878
-35,0,10,228.032
-34,0,10,224.186
-33,0,10,220.34
-32,0,10,216.494
-31,0,10,212.698
-30,0,10,209.054
-29,0,10,205.41
-28,0,10,201.767
-27,0,10,198.123
-26,0,10,194.48
-25,0,10,190.836
-24,0,10,187.192
-23,0,10,183.549
-22,0,10,179.906
-21,0,10,176.469
-20,0,10,173.031
-19,0,10,169.594
-18,0,10,166.157
-17,0,10,162.719
-16,0,10,159.282
-15,0,10,155.845
-14,0,10,152.407
-13,0,10,148.97
-12,0,10,145.794
-11,0,10,142.638
-10,0,10,139.483
-9,0,10,136.327
-8,0,10,133.172
-7,0,10,130.016
-6,0,10,126.86
-5,0,10,123.705
-4,0,10,120.549
-3,0,10,117.395
-2,0,10,114.263
-1,0,10,111.132
0,0,10,108
1,0,10,104.869
2,0,10,101.737
3,0,10,98.606
4,0,10,95.474
5,0,10,92.343
6,0,10,89.316
7,0,10,87.028
8,0,10,84.74
9,0,10,82.453
10,0,10,80.165
11,0,10,77.877
12,0,10,75.59
13,0,10,73.302
14,0,10,71.014
15,0,10,68.727
16,0,10,66.45
17,0,10,64.317
18,0,10,62.184
19,0,10,60.052
20,0,10,57.919
21,0,10,55.786
22,0,10,53.653
23,0,10,51.52
24,0,10,49.387
25,0,10,47.254
26,0,10,45.14
27,0,10,43.029
28,0,10,40.919
29,0,10,38.808
30,0,10,36.697
31,0,10,34.587
32,0,10,32.476
33,0,10,30.365
34,0,10,28.255
35,0,10,26.209
36,0,10,24.708
37,0,10,23.207
38,0,10,21.706
39,0,10,20.205
40,0,10,18.704
41,0,10,17.203
42,0,10,15.703
43,0,10,14.202
44,0,10,12.815
45,0,10,11.639
46,0,10,10.463
47,0,10,9.287
48,0,10,8.112
49,0,10,6.936
50,0,10,5.76
51,0,10,4.584
52,0,10,3.408
53,0,10,2.363
54,0,10,1.664
55,0,10,0.966
56,0,10,0.267
57,0,10,-0.432
58,0,10,-1.131
59,0,10,-1.829
60,0,10,-2.528
61,0,10,-3.227
62,0,10,-3.925
63,0,10,-3.516
64,0,10,-2.944
65,0,10,-2.372
66,0,10,-1.8
67,0,10,-1.228
68,0,10,-0.656
69,0,10,-0.084
70,0,10,0.488
71,0,10,1.06
72,0,10,1.632
73,0,10,2.403
74,0,10,3.217
75,0,10,4.031
76,0,10,4.845
77,0,10,5.659
78,0,10,6.473
79,0,10,7.287
80,0,10,8.101
81,0,10,8.915
82,0,10,10.537
83,0,10,12.436
84,0,10,14.336
85,0,10,16.236
86,0,10,18.135
87,0,10,20.035
88,0,10,21.934
89,0,10,23.834
90,0,10,25.733
91,0,10,26.717
92,0,10,27.241
93,0,10,27.765
94,0,10,28.29
95,0,10,28.814
96,0,10,29.338
97,0,10,29.862
98,0,10,30.386
99,0,10,30.91
100,0,10,31.296
101,0,10,31.296
102,0,10,31.296
103,0,10,31.296
104,0,10,31.296
105,0,10,31.296
106,0,10,31.296
107,0,10,31.296
108,0,10,31.296
109,0,10,31.296
110,0,10,31.22
111,0,10,31.133
112,0,10,31.046
113,0,10,30.958
114,0,10,30.871
115,0,10,30.784
116,0,10,30.696
117,0,10,30.609
118,0,10,30.522
-40,0,0,102.737
-39,0,0,101.776
-38,0,0,100.629
-37,0,0,99.482
-36,0,0,98.335
-35,0,0,97.189
-34,0,0,96.042
-33,0,0,94.895
-32,0,0,93.748
-31,0,0,92.705
-30,0,0,91.981
-29,0,0,91.258
-28,0,0,90.534
-27,0,0,89.81
-26,0,0,89.087
-25,0,0,88.363
-24,0,0,87.639
-23,0,0,86.916
-22,0,0,86.108
-21,0,0,84.885
-20,0,0,83.663
-19,0,0,82.44
-18,0,0,81.217
-17,0,0,79.995
-16,0,0,78.772
-15,0,0,77.549
-14,0,0,76.326
-13,0,0,75.104
-12,0,0,73.897
-11,0,0,72.695
-10,0,0,71.493
-9,0,0,70.291
-8,0,0,69.089
-7,0,0,67.887
-6,0,0,66.685
-5,0,0,65.483
-4,0,0,64.281
-3,0,0,63.109
-2,0,0,62.058
-1,0,0,61.007
0,0,0,59.955
1,0,0,58.904
2,0,0,57.852
3,0,0,56.801
4,0,0,55.75
5,0,0,54.698
6,0,0,53.757
7,0,0,52.887
8,0,0,52.016
9,0,0,51.145
10,0,0,50.275
11,0,0,49.404
12,0,0,48.533
13,0,0,47.663
14,0,0,46.792
15,0,0,45.921
16,0,0,44.989
17,0,0,43.853
18,0,0,42.718
19,0,0,41.582
20,0,0,40.447
21,0,0,39.312
22,0,0,38.176
23,0,0,37.041
24,0,0,35.905
25,0,0,34.77
26,0,0,33.877
27,0,0,33.033
28,0,0,32.189
29,0,0,31.344
30,0,0,30.5
31,0,0,29.656
32,0,0,28.812
33,0,0,27.967
34,0,0,27.123
35,0,0,26.209
36,0,0,24.708
37,0,0,23.207
38,0,0,21.706
39,0,0,20.205
40,0,0,18.704
41,0,0,17.203
42,0,0,15.703
43,0,0,14.202
44,0,0,12.815
45,0,0,11.639
46,0,0,10.463
47,0,0,9.287
48,0,0,8.112
49,0,0,6.936
50,0,0,5.76
51,0,0,4.584
52,0,0,3.408
53,0,0,2.363
54,0,0,1.664
55,0,0,0.966
56,0,0,0.267
57,0,0,-0.432
58,0,0,-1.131
59,0,0,-1.829
60,0,0,-2.528
61,0,0,-3.227
62,0,0,-3.925
63,0,0,-3.516
64,0,0,-2.944
65,0,0,-2.372
66,0,0,-1.8
67,0,0,-1.228
68,0,0,-0.656
69,0,0,-0.084
70,0,0,0.488
71,0,0,1.06
72,0,0,1.632
73,0,0,2.403
74,0,0,3.217
75,0,0,4.031
76,0,0,4.845
77,0,0,5.659
78,0,0,6.473
79,0,0,7.287
80,0,0,8.101
81,0,0,8.915
82,0,0,10.537
83,0,0,12.436
84,0,0,14.336
85,0,0,16.236
86,0,0,18.135
87,0,0,20.035
88,0,0,21.934
89,0,0,23.834
90,0,0,25.733
91,0,0,26.717
92,0,0,27.241
93,0,0,27.765
94,0,0,28.29
95,0,0,28.814
96,0,0,29.338
97,0,0,29.862
98,0,0,30.386
99,0,0,30.91
100,0,0,31.296
101,0,0,31.296
102,0,0,31.296
103,0,0,31.296
104,0,0,31.296
105,0,0,31.296
106,0,0,31.296
107,0,0,31.296
108,0,0,31.296
109,0,0,31.296
110,0,0,31.22
111,0,0,31.133
112,0,0,31.046
113,0,0,30.958
114,0,0,30.871
115,0,0,30.784
116,0,0,30.696
117,0,0,30.609
118,0,0,30.522
-40,1,15,40.082
-39,1,15,37.764
-38,1,15,35.866
-37,1,15,35.14
-36,1,15,34.413
-35,1,15,33.686
-34,1,15,32.959
-33,1,15,32.232
-32,1,15,31.506
-31,1,15,30.779
-30,1,15,30.052
-29,1,15,29.333
-28,1,15,28.674
-27,1,15,28.014
-26,1,15,27.355
-25,1,15,26.696
-24,1,15,26.037
-23,1,15,25.378
-22,1,15,24.718
-21,1,15,24.059
-20,1,15,23.4
-19,1,15,22.796
-18,1,15,22.221
-17,1,15,21.647
-16,1,15,21.073
-15,1,15,20.499
-14,1,15,19.924
-13,1,15,19.35
-12,1,15,18.776
-11,1,15,18.202
-10,1,15,17.641
-9,1,15,17.093
-8,1,15,16.546
-7,1,15,15.999
-6,1,15,15.451
-5,1,15,14.904
-4,1,15,14.357
-3,1,15,13.809
-2,1,15,13.262
-1,1,15,12.742
0,1,15,12.276
1,1,15,11.809
2,1,15,11.343
3,1,15,10.876
4,1,15,10.409
5,1,15,9.943
6,1,15,9.476
7,1,15,9.01
8,1,15,8.558
9,1,15,8.17
10,1,15,7.782
11,1,15,7.394
12,1,15,7.005
13,1,15,6.617
14,1,15,6.229
15,1,15,5.841
16,1,15,5.453
17,1,15,5.065
18,1,15,4.734
19,1,15,4.411
20,1,15,4.088
21,1,15,3.765
22,1,15,3.442
23,1,15,3.119
24,1,15,2.796
25,1,15,2.473
26,1,15,2.15
27,1,15,1.873
28,1,15,1.612
29,1,15,1.352
30,1,15,1.092
31,1,15,0.832
32,1,15,0.572
33,1,15,0.311
34,1,15,0.051
35,1,15,-0.209
36,1,15,-0.438
37,1,15,-0.645
38,1,15,-0.851
39,1,15,-1.057
40,1,15,-1.264
41,1,15,-1.47
42,1,15,-1.676
43,1,15,-1.883
44,1,15,-2.089
45,1,15,-2.26
46,1,15,-2.381
47,1,15,-2.502
48,1,15,-2.624
49,1,15,-2.745
50,1,15,-2.867
51,1,15,-2.988
52,1,15,-3.11
53,1,15,-3.231
54,1,15,-3.352
55,1,15,-3.256
56,1,15,-3.151
57,1,15,-3.045
58,1,15,-2.939
59,1,15,-2.833
60,1,15,-2.727
61,1,15,-2.621
62,1,15,-2.515
63,1,15,-2.41
64,1,15,-2.201
65,1,15,-1.936
66,1,15,-1.671
67,1,15,-1.406
68,1,15,-1.141
69,1,15,-0.876
70,1,15,-0.611
71,1,15,-0.346
72,1,15,-0.081
73,1,15,0.252
74,1,15,0.588
75,1,15,0.924
76,1,15,1.259
77,1,15,1.595
78,1,15,1.931
79,1,15,2.267
80,1,15,2.602
81,1,15,2.938
82,1,15,3.351
83,1,15,4.104
84,1,15,4.857
85,1,15,5.609
86,1,15,6.362
87,1,15,7.115
88,1,15,7.868
89,1,15,8.62
90,1,15,9.373
91,1,15,9.936
92,1,15,10.144
93,1,15,10.352
94,1,15,10.56
95,1,15,10.768
96,1,15,10.977
97,1,15,11.185
98,1,15,11.393
99,1,15,11.601
100,1,15,11.809
101,1,15,11.85
102,1,15,11.868
103,1,15,11.886
104,1,15,11.904
105,1,15,11.922
106,1,15,11.939
107,1,15,11.957
108,1,15,11.975
109,1,15,11.993
110,1,15,11.992
111,1,15,11.982
112,1,15,11.973
113,1,15,11.964
114,1,15,11.955
115,1,15,11.946
116,1,15,11.937
117,1,15,11.928
118,1,15,11.918
-40,1,10,23.446
-39,1,10,22.952
-38,1,10,22.458
-37,1,10,21.964
-36,1,10,21.47
-35,1,10,20.976
-34,1,10,20.482
-33,1,10,19.988
-32,1,10,19.494
-31,1,10,19.001
-30,1,10,18.564
-29,1,10,18.13
-28,1,10,17.697
-27,1,10,17.263
-26,1,10,16.829
-25,1,10,16.396
-24,1,10,15.962
-23,1,10,15.528
-22,1,10,15.095
-21,1,10,14.669
-20,1,10,14.25
-19,1,10,13.832
-18,1,10,13.414
-17,1,10,12.996
-16,1,10,12.578
-15,1,10,12.159
-14,1,10,11.741
-13,1,10,11.323
-12,1,10,10.946
-11,1,10,10.59
-10,1,10,10.234
-9,1,10,9.879
-8,1,10,9.523
-7,1,10,9.167
-6,1,10,8.812
-5,1,10,8.456
-4,1,10,8.101
-3,1,10,7.751
-2,1,10,7.428
-1,1,10,7.105
0,1,10,6.782
1,1,10,6.459
2,1,10,6.136
3,1,10,5.813
4,1,10,5.49
5,1,10,5.167
6,1,10,4.845
7,1,10,4.562
8,1,10,4.279
9,1,10,3.996
10,1,10,3.713
11,1,10,3.43
12,1,10,3.147
13,1,10,2.864
14,1,10,2.581
15,1,10,2.3
16,1,10,2.07
17,1,10,1.841
18,1,10,1.612
19,1,10,1.382
20,1,10,1.153
21,1,10,0.924
22,1,10,0.694
23,1,10,0.465
24,1,10,0.236
25,1,10,0.037
26,1,10,-0.151
27,1,10,-0.339
28,1,10,-0.526
29,1,10,-0.714
30,1,10,-0.902
31,1,10,-1.089
32,1,10,-1.277
33,1,10,-1.465
34,1,10,-1.644
35,1,10,-1.744
36,1,10,-1.844
37,1,10,-1.945
38,1,10,-2.045
39,1,10,-2.146
40,1,10,-2.246
41,1,10,-2.347
42,1,10,-2.447
43,1,10,-2.546
44,1,10,-2.636
45,1,10,-2.726
46,1,10,-2.815
47,1,10,-2.905
48,1,10,-2.995
49,1,10,-3.085
50,1,10,-3.174
51,1,10,-3.264
52,1,10,-3.354
53,1,10,-3.256
54,1,10,-3.151
55,1,10,-3.045
56,1,10,-2.939
57,1,10,-2.833
58,1,10,-2.727
59,1,10,-2.621
60,1,10,-2.515
61,1,10,-2.41
62,1,10,-2.201
63,1,10,-1.936
64,1,10,-1.671
65,1,10,-1.406
66,1,10,-1.141
67,1,10,-0.876
68,1,10,-0.611
69,1,10,-0.346
70,1,10,-0.081
71,1,10,0.167
72,1,10,0.414
73,1,10,0.661
74,1,10,0.909
75,1,10,1.156
76,1,10,1.404
77,1,10,1.651
78,1,10,1.898
79,1,10,2.146
80,1,10,2.496
81,1,10,3.043
82,1,10,3.59
83,1,10,4.137
84,1,10,4.684
85,1,10,5.23
86,1,10,5.777
87,1,10,6.324
88,1,10,6.871
89,1,10,7.405
90,1,10,7.551
91,1,10,7.697
92,1,10,7.843
93,1,10,7.989
94,1,10,8.135
95,1,10,8.281
96,1,10,8.427
97,1,10,8.573
98,1,10,8.713
99,1,10,8.695
100,1,10,8.677
101,1,10,8.659
102,1,10,8.641
103,1,10,8.623
104,1,10,8.605
105,1,10,8.587
106,1,10,8.569
107,1,10,8.551
108,1,10,8.59
109,1,10,8.635
110,1,10,8.681
111,1,10,8.727
112,1,10,8.772
113,1,10,8.818
114,1,10,8.864
115,1,10,8.909
116,1,10,8.955
117,1,10,11.142
118,1,10,11.17
-40,1,0,10.446
-39,1,0,9.952
-38,1,0,9.429
-37,1,0,9.177
-36,1,0,8.926
-35,1,0,8.675
-34,1,0,8.424
-33,1,0,8.172
-32,1,0,7.921
-31,1,0,7.67
-30,1,0,7.419
-29,1,0,7.181
-28,1,0,6.982
-27,1,0,6.783
-26,1,0,6.583
-25,1,0,6.384
-24,1,0,6.184
-23,1,0,5.985
-22,1,0,5.785
-21,1,0,5.586
-20,1,0,5.386
-19,1,0,5.2
-18,1,0,5.018
-17,1,0,4.836
-16,1,0,4.654
-15,1,0,4.472
-14,1,0,4.29
-13,1,0,4.108
-12,1,0,3.925
-11,1,0,3.743
-10,1,0,3.566
-9,1,0,3.399
-8,1,0,3.232
-7,1,0,3.064
-6,1,0,2.897
-5,1,0,2.73
-4,1,0,2.563
-3,1,0,2.395
-2,1,0,2.228
-1,1,0,2.077
0,1,0,1.942
1,1,0,1.808
2,1,0,1.673
3,1,0,1.539
4,1,0,1.404
5,1,0,1.269
6,1,0,1.135
7,1,0,1
8,1,0,0.864
9,1,0,0.725
10,1,0,0.587
11,1,0,0.448
12,1,0,0.309
13,1,0,0.17
14,1,0,0.032
15,1,0,-0.107
16,1,0,-0.246
17,1,0,-0.385
18,1,0,-0.49
19,1,0,-0.59
20,1,0,-0.691
21,1,0,-0.791
22,1,0,-0.892
23,1,0,-0.992
24,1,0,-1.092
25,1,0,-1.193
26,1,0,-1.293
27,1,0,-1.361
28,1,0,-1.425
29,1,0,-1.489
30,1,0,-1.553
31,1,0,-1.617
32,1,0,-1.681
33,1,0,-1.745
34,1,0,-1.809
35,1,0,-1.873
36,1,0,-1.94
37,1,0,-2.009
38,1,0,-2.077
39,1,0,-2.145
40,1,0,-2.213
41,1,0,-2.282
42,1,0,-2.35
43,1,0,-2.418
44,1,0,-2.486
45,1,0,-2.56
46,1,0,-2.648
47,1,0,-2.736
48,1,0,-2.825
49,1,0,-2.913
50,1,0,-3.001
51,1,0,-3.089
52,1,0,-3.177
53,1,0,-3.266
54,1,0,-3.354
55,1,0,-3.256
56,1,0,-3.151
57,1,0,-3.045
58,1,0,-2.939
59,1,0,-2.833
60,1,0,-2.727
61,1,0,-2.621
62,1,0,-2.515
63,1,0,-2.41
64,1,0,-2.201
65,1,0,-1.936
66,1,0,-1.671
67,1,0,-1.406
68,1,0,-1.141
69,1,0,-0.876
70,1,0,-0.611
71,1,0,-0.346
72,1,0,-0.081
73,1,0,0.167
74,1,0,0.414
75,1,0,0.661
76,1,0,0.909
77,1,0,1.156
78,1,0,1.404
79,1,0,1.651
80,1,0,1.898
81,1,0,2.146
82,1,0,2.502
83,1,0,3.068
84,1,0,3.633
85,1,0,4.198
86,1,0,4.764
87,1,0,5.329
88,1,0,5.894
89,1,0,6.459
90,1,0,7.025
91,1,0,7.507
92,1,0,7.639
93,1,0,7.772
94,1,0,7.904
95,1,0,8.036
96,1,0,8.169
97,1,0,8.301
98,1,0,8.433
99,1,0,8.566
100,1,0,8.698
101,1,0,8.706
102,1,0,8.697
103,1,0,8.688
104,1,0,8.679
105,1,0,8.67
106,1,0,8.661
107,1,0,8.652
108,1,0,8.643
109,1,0,8.634
110,1,0,8.638
111,1,0,8.647
112,1,0,8.656
113,1,0,8.665
114,1,0,8.675
115,1,0,8.684
116,1,0,8.693
117,1,0,8.702
118,1,0,8.711
